channel_id,channel_name,country,latitude,longitude
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,KR,35.962068976128776,129.09204748032175
UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,KR,36.35015288537566,128.27145389161547
UCVNE660NcgYzi18LwwUZb7Q,BILLIE EILISH,,-15.15720039719821,-100.51160537049455
UCF1JIbMUs6uqoZEY1Haw0GQ,Shemaroo,IN,25.342933500889703,85.28915276667618
UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,CL,-37.506098289602605,-71.78299961462197
UC4NALVCmcmL5ntpV0thoH6w,LooLoo Kids - Nursery Rhymes and Children's Songs,US,44.41550665778661,-95.67423099512105
UCJrDMFOdv1I2k8n9oK_V21w,Tips Official,IN,22.956465801615703,73.7832095323486
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,US,42.76493737965089,-99.93987428278759
UCK1i2UviaXLUNrZlAFpw_jA,El Reino Infantil,AR,-45.895458348697844,-69.57419131461593
UCIwFjwMjI0y7PDBVEO9-bkQ,Justin Bieber,CA,75.92674039911708,-111.83733803928038
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,IN,24.16644838197072,82.56674697659453
UC22nIfOTM7KLIQuFGMKzQbg,Wave Music,IN,20.057892297826253,85.78592271352619
UC55IWqFLDH1Xp7iu1_xknRA,Colors TV,IN,27.72854023767518,75.93639472441922
UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,IN,20.607827284561502,83.2439181662094
UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,,-34.49245562644502,-88.94869555222236
UCppHT7SZKKvar4Oc9J4oljQ,Zee TV,IN,29.007526741542232,76.67328284227818
UCBnZ16ahKA2DZ_T5W0FPUXg,ChuChu TV Nursery Rhymes & Kids Songs,IN,23.395567096239542,75.96783592829345
UC9CoOnJkIBMdeijd9qYoT_g,Ariana Grande,,-42.740336447693096,-103.32222082575939
UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,US,32.60455007024579,-112.69884677355003
UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,IN,25.015821451819658,83.07898481107141
UCRx3mKNUdl8QE06nEug7p6Q,Billion Surprise Toys,US,33.509329300847234,-91.58903721518476
UCfM3zsQsOnfWNUppiycmBuw,EminemMusic,,-7.965219714546535,-104.35827348564479
UC3gNmTGu-TTbFPpfSs5kNkg,Movieclips,US,35.881041542186736,-111.94906227986735
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,US,39.88773704720459,-80.32707851786053
UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB,IN,18.476045458940646,78.83714944726816
UC1ciY6kR3yj3kaKZ6R7ewAg,Infobells - Hindi,IN,20.924280732470642,84.66964686896048
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,US,30.928565458970652,-99.22601423734362
UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,,-29.848419136971675,-97.21030104504027
UCbTLwN10NoCU4WDzLf1JMOA,YRF,IN,9.250317162664548,78.58595389981771
UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,,-13.838315535962558,-102.45051753294575
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,JP,36.41722699316111,140.27610452850678
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,,-31.99340298030316,-84.67238393427994
